Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
MAR,NOR,,,,,,,,,,,,,,,,,,,,,,,2,2,8,6,7,5,6,9,7,10,13,15,15
KAZ,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4
BDI,MLI,,,,,,,,,,,,,,,,,,,,,,32,39,38,37,38,38,40,43,49,50,50,51,51,51
SAU,AUS,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,1,4,5,5,16,28,16,16,16
ERI,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
*ST,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,
AGO,USA,,,,,,,,,,,,,,212,149,133,151,115,102,90,54,19,22,38,77,134,217,266,208,232,254,372,253,248,250
GEO,KAZ,,,,,,,,,,,,,,,,,,,,5,,,3,3,10,10,,,,,,,,,
NIC,ESP,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,
CUB,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,7
IND,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
MRT,BFA,,,,,,,,,,,,,,,,,,,2,,,,12,10,10,10,,,,1,2,2,,,1
COD,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,7370,7096,6668,6280,3563,4202,4418,6093
IRQ,CHN,,,,,,,,,,,,,,,,,,,10,11,,,,4,,1,2,2,3,2,5,5,42,23,34
PRK,SGP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MOZ,LBR,,,,,,,,,,,,,,,,,,,7,7,6,6,,,,,,,,,,,,,
TGO,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,36,48,51,51
*VA,VNM,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,
IND,CAN,,,,,,,,,,,,,,,,,,,,1124,1496,1868,2048,2296,,3196,3803,3807,3514,3589,3512,3750,7114,6718,6245
PAN,CAN,,,,,,,,,,,,,,,,,,,,143,113,83,44,29,,21,25,15,8,14,19,26,43,45,44
LBR,SWE,,,,,,,,,,,,,,,,1,14,22,22,30,36,43,44,48,,48,37,32,142,171,175,196,34,31,32
NGA,COD,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CUB,DOM,,,,,,,,,,,,,,,,,,,69,30,30,30,31,4,6,34,,,,,,,,,
TGO,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
IRN,DNK,,,,,,,,,,,,,,,2808,3186,3552,3730,3980,4117,3811,3506,2920,2251,2816,2460,1774,1771,1691,1665,1755,1617,771,805,864
CIV,MLI,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,617,1504,2704,2712,2066,2088,2078,2028
BIH,ARG,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,6,6
SDN,NAM,,,,,,,,,,,,,,,,,,,,,,,2,1,8,,,,4,2,2,,,,5
DJI,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
CRI,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,8,,31,26,23,8
LBR,MOZ,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,1,1,1,1
NOR,USA,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,1,1,1,1,1
BGR,TUR,300,,,290,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,
IRN,FJI,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
EST,FRA,,,,,,,,,,,,,,,,,,,,,,22,23,23,,,14,14,12,11,11,10,10,10,10
