Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
BLR,ITA,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,2,2,2,12,15,16
ROU,URY,,,,,,,,,,,,,,,,,,,5,5,,,4,3,3,,,,,,,,,,
MOZ,PRT,,,,,,,,,,,,,,,,,,,,,,22,22,20,,14,14,9,9,9,1,1,1,1,0
HTI,ECU,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,6,12,14,14,14,14,18
BRA,CAN,,,,,,,,,,,,,,,,,,,,27,24,20,20,18,,32,38,40,36,30,79,110,165,176,168
MDA,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,12,13,13
PER,COL,,,,,,,,,,,,,,,,,,,6,21,18,16,17,20,20,19,16,16,16,17,14,14,14,14,14
COD,CAF,,,,,,,,,,,,,,,,,,,6,7,,,210,683,9536,15325,10225,10798,6498,3447,3267,3027,1893,1536,20899
LAO,BEL,,,,,,,,,,,,,,,,,,,,,,534,534,20,146,16,62,48,37,35,33,30,27,23,21
ZAF,CHE,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,2,5,7,5,5,4,6,5
MYS,NOR,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,10,13,7,7,7,,,0
GNB,ESP,,,,,,,,,,,,,,,,,3,3,5,5,3,2,2,2,3,4,5,5,3,3,3,3,3,2,1
RUS,ITA,,,,,,10821,11562,11569,11574,11577,11582,10226,8683,7125,3017,781,44,37,29,20,18,16,17,12,,86,197,209,219,226,237,262,297,300,309
LKA,MEX,,,,,,,,,,,,,,,,,,,,,,,,4,4,10,26,18,9,5,5,5,3,6,23
GHA,BRA,,,,,,,,,,,,,,,,,,,,,6,5,5,6,5,5,5,6,4,4,6,6,6,6,6
DZA,ITA,,,,,,2,3,3,3,3,3,1,1,1,2,2,1,1,3,3,5,8,18,34,,51,60,60,58,61,60,56,55,49,60
ALB,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,
CAF,BFA,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,1,1,1,1,1,1,2,1,1
*PA,SEN,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
OMN,BEL,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
TZA,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,3,3,3,3
IRN,PHL,,,,,,,,170,160,200,220,190,210,,,220,210,,153,,,83,77,73,28,28,23,26,25,24,19,18,20,19,20
COD,CHN,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,4,3,2,2,3,3,3,,
SDN,TGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
GNQ,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,15,22,2,2,2
NGA,ECU,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,1,,,1,1,2,5,5,11
DEU,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
LKA,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4
IRQ,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,,,,,
MAR,ITA,,,,,,,,,1,1,1,1,2,3,5,5,7,7,6,6,6,6,6,6,,5,3,3,3,3,3,17,25,41,76
ISR,SWE,,,,,,,,,,,,,,,,1,14,19,28,31,31,31,34,35,,34,21,20,11,8,13,24,24,27,31
BDI,AUS,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,17,24,81,369,759,1478,19,24,30
KGZ,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,5,14
SOM,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CMR,CHE,,,,,,,,,,,,,,,,,,,,,,,,5,5,11,22,25,37,46,59,76,90,119,125
*ST,AUT,,,,,,,,,,,,,,,,,,,,,,,,36,42,32,41,44,66,73,122,180,233,337,374
ISR,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,
GEO,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,3,3
SRB,PAK,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,
LBR,HUN,,,,,,,,,,,,,,,,,,,1,1,,,,,,7,7,8,10,18,26,28,22,17,17
COD,NER,,,,,,,,,,,,,,,,,,,1,,,1,1,40,134,23,39,78,84,96,86,87,90,89,91
PER,ECU,,,,,,,,,,,,,,,,,,,14,19,,,1,6,8,15,2,6,5,21,31,38,70,87,90
PRK,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,5,5,5,6,6,6
DZA,KOR,,,,,,,,,,,,,,,,,,,,,,1,,,4,4,4,4,2,2,4,4,4,4,4
USA,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,2,2
LTU,RUS,,,,,,,,,,,,,,,,,,,,,,337,316,154,110,41,12,9,8,,,,,,
MRT,PRT,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,,,,,,
HTI,CAN,,,,,,,,,,,,,,,,,,,,1217,1137,1057,811,504,,439,511,392,413,460,632,783,1295,1410,1662
WSM,AUS,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,
MDA,POL,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,1
ISR,ITA,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
AGO,NAM,,,,,,,,,,,,,,,,,70,90,553,1087,1578,2069,2188,2818,6984,27263,30881,21636,17814,12618,4666,4738,5705,5916,5924
ERI,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,1,1,5,8,2
NIC,BRA,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,1,1,1,1,1
LAO,ESP,,,,,,,,,,,,,,,,,88,88,88,88,53,18,18,,,,,,,,,,,,
PAK,KAZ,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,,,,,,,,,
RUS,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,7,4,4,4
BFA,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TJK,BGR,,,,,,,,,,,,,,,,,,,,3,3,3,,,,,,,,,,,,,
ROU,PRT,,,,,,,,,,,,,,,,,,,,,,4,4,2,,2,1,1,1,1,1,1,1,1,1
AFG,CAN,,,,,,,,,,,,,,,,,,,,4399,4575,5056,6046,6754,,9115,11371,12957,14616,15242,15535,14419,3470,3147,3015
CUB,CHL,,,,,,,,,,,,,,,,,,,12,16,33,50,40,37,36,44,43,44,46,48,47,48,51,51,
BDI,KEN,,,,,,,,,,,,,,,50,50,,,,,,73,115,556,205,146,487,402,404,782,1188,1195,1270,1313,1313
DZA,TUN,,,,,,,,,,,,,,,,,,,,3,17,31,88,114,63,60,38,47,39,37,37,33,29,29,25
MMR,NLD,,,,,,,,,,,,,,,,,,2,2,7,15,23,28,34,,122,177,202,208,212,213,473,235,395,482
SOM,ZMB,110,,,,,,,,,,,,,,,,380,690,892,892,800,709,568,657,669,699,940,941,987,1675,1693,1694,1725,1868,1927
IDN,MOZ,,,,,,,,,,70,50,50,60,60,60,50,50,,54,,,,,,,,,,,,,,,,
TCD,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
LBR,CAN,,,,,,,,,,,,,,,,,,,,192,197,202,191,178,,159,187,188,268,639,1151,1436,123,115,103
SOM,HUN,,,,,,,,,,,,,,,,,,,5,1,,,,,,33,40,73,98,148,155,181,210,313,397
MRT,AUS,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,5,4,6,6,5,5,4
ARM,ITA,,,,,,33,33,33,33,33,33,28,28,1,1,1,1,1,1,5,5,5,4,14,,26,26,26,26,26,26,45,66,70,73
SLB,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
ECU,USA,,,,,,,,,,,,,,,,,,1,4,10,14,19,22,25,41,42,,,55,50,76,130,133,138,136
EST,CAN,,,,,,,,,,,,,,,,,,,,176,190,204,192,132,,25,27,11,11,11,12,10,22,23,21
NPL,AUS,,,,,,,,,,,,,,,,,,,,,,6,9,21,26,27,23,34,31,29,47,72,100,114,130
UKR,FIN,,,,,,,,,,,,,,,,,,,,,,,,3,4,7,11,14,19,20,20,20,20,19,18
RWA,NGA,,,,,,,,,,,,,,,,,,,7,12,,,26,9,,,24,27,24,24,38,35,36,36,35
PAK,VEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
COG,FIN,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,13,17,22,22,22,22,22,24
LBN,ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
GHA,NLD,,,,,,,,,,,,,,,,,,99,99,104,110,116,115,99,,70,59,33,33,28,14,8,5,3,3
KWT,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*PA,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2
ERI,CAN,,,,,,,,,,,,,,,,,,,,6,21,36,72,109,,165,316,411,557,852,1197,1619,717,792,918
TUR,CAN,,,,,,,,,,,,,,,,,,,,536,557,578,536,545,,765,1172,1651,2000,2632,3468,3474,4753,4691,4611
SOM,MWI,,,,,,,,,,,,,,,,,,,142,,,251,141,55,220,182,175,119,115,74,73,42,20,13,40
MNG,AUT,,,,,,,,,,,,,,,,,,,,,,,,7,7,8,8,4,4,10,16,26,53,101,119
*TB,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,7,16,17,17,15
ETH,MDG,,,,,,,,,,,,,,,,,,,,65,,,,,,5,2,,,,,,,,
WSM,CAN,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CHL,ROU,,,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,
PAK,ISL,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,
CMR,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1
UZB,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,8,21,31,43,45,39
NPL,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
LBR,NLD,,,,,,,,,,,,,,,,,,57,120,289,525,761,938,1010,,1081,1107,1109,1086,951,1013,733,499,530,519
GAB,SWE,,,,,,,,,,,,,,,,,,17,17,17,17,17,17,17,,17,17,,,,,,,,
LKA,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
NPL,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,40,67,51,38,18
ERI,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4
KWT,NZL,,,,,,,,,,,,,,,,,,,,,,11,11,11,,,25,47,48,58,59,34,50,50,50
MNG,NLD,,,,,,,,,,,,,,,,,,,,,,,4,4,,7,25,33,41,44,50,54,53,55,59
PER,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2
KWT,EGY,,,,,,,,,,,,,,,,,,,5,,,1,1,,,,10,10,10,9,9,9,9,9,0
KGZ,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,12,18,20,24
CHN,JPN,,,,,,,,80,,,,,,,,,,,,,,1,1,1,2,28,28,34,35,35,32,43,44,43,60
CUB,CZE,,,,,,,,,,,,,,,,,,,,,,,31,31,17,17,17,21,24,24,27,27,36,38,75
BDI,TGO,,,,,,,,,,,,,,,,,,,2,16,24,33,36,55,56,61,62,63,63,62,60,57,57,57,9
PAN,SWE,,,,,,,,,,,,,,,,13,21,25,28,32,32,32,32,32,,19,11,7,4,,,,,,
DZA,YEM,,,,,,,,,,,,,,,,,,,,,,,15,15,15,5,5,5,5,5,5,5,5,5,5
COG,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
IRQ,ARG,,,,,,,,,,,,,,,,,,,2,2,,,,13,13,13,18,19,22,24,24,25,26,25,29
JOR,NOR,,,,,,,,,,,,,,,,,,,,,,,19,19,14,5,4,9,12,11,11,11,12,15,15
AFG,BLR,,,,,,,,,,,,,,,,,,,,1607,,,38,59,199,368,454,478,459,534,517,491,454,436,408
ETH,NAM,,,,,,,,,,,,,,,,,,,8,,,5,,2,1,,,,3,,1,1,,,
SEN,ARG,,,,,,,,,,,,,,,,,,,2,4,,,,22,22,32,31,31,42,65,66,66,64,71,59
CHL,FRA,,,,,,,,,,,,,,,,,,,,,,788,455,282,212,160,125,102,80,73,63,79,77,77,77
ETH,PRT,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,,2,3,3,3
BGD,TTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3
SOM,ARE,,,,,,,,,,,500,,,,,,,,341,190,224,259,295,313,313,321,321,13,13,12,12,23,14,14,13
NGA,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,
CMR,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BFA,MLI,,,,,,,,,,,,,,,,,,,,,,,35,5,,,,,,,,,,1,1
BIH,FIN,,,,,,,,,,,,,,,,,,,,,,,,348,359,368,385,82,102,118,114,115,120,115,105
SAU,JOR,,,,,,,,,,,,,,,,,,,1,1,,,8,,,,,,,4,5,,,,
SDN,SWE,,,,,,,,,,,,,,,,11,34,73,116,128,129,131,134,147,,155,138,103,90,169,202,241,112,141,187
IRQ,SVK,,,,,,,,,,,,,,,,,,,,,,119,38,40,40,40,41,41,43,33,34,14,48,79,89
GMB,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,12,12,15,15,26,81,123,207
SEN,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
CHN,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,9,10,10,19
*VA,BGR,,,,,,,,,,,,,,,,,,33,1,6,,,,41,120,,,,,68,,,,,
*ST,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,7,7,7,
*VA,TGO,,,,,,,,,300,300,550,460,70,84,87,80,70,88,4,1,3,5,70,121,134,135,65,65,66,66,66,65,65,,
IND,BEL,,,,,,,,,,,,,,,,,,,,,,,,49,30,51,19,14,10,8,5,4,3,2,2
ZMB,CIV,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
IRQ,UGA,,,,,,,,,,,,,,,,,,,,,,,9,9,9,8,,,,,,,,,
IND,ECU,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,1,1,1,1,1,1,2,2,2
TGO,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,3,4,4
CMR,GAB,,,,,,,,,,,,,,,,,,,,,,4,4,8,15,1,1,,3,3,,,1,1,1
ERI,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,10
LKA,CHN,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,
PAK,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13
ECU,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,2,2
JOR,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
AFG,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,5,5,5,5,6,8,7
PAK,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
LAO,THA,55510,62720,78970,119180,128770,104940,89390,76060,78950,82100,93260,85820,74980,76231,68741,67420,57298,40871,26694,11924,7608,3293,1337,196,117,49,34,34,41,27,150,354,417,432,271
BGD,BEL,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,2,1,,5,5,4,8,8,10
TUN,ALB,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
SYR,USA,,,,,,,,,,,,,,252,239,257,205,154,757,1760,2231,2703,2737,2165,1178,560,297,291,182,197,150,423,344,320,341
BIH,HRV,,,,,,,,,,,,,,,,,,,287000,183600,171129,158659,68340,28659,24960,20889,20421,7672,3930,3204,2545,2103,1336,1289,956
NER,NIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
BDI,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,4,3,2,2
ZAF,AGO,,,,1000,1000,5000,5000,6210,6210,9000,9300,10000,10000,9200,2100,2100,253,224,168,,,,,,,,,,,,,,1,2,2
SOM,URY,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,3,3,3,3,3,3,3
VNM,BFA,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,5,5,5
SOM,NZL,,,,,,,,,,,,,,,,,,,,,,749,770,813,,785,571,718,635,540,434,331,60,62,65
IRQ,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,20,100,105
KHM,BWA,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,
RWA,KHM,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
AFG,GBR,,,,,,,,,,,,,,241,233,237,192,156,130,110,685,1260,1915,3450,,5675,15065,20305,21718,22494,22532,23069,23565,23079,23658
UZB,RUS,,,,,,,,,,,,,,,,,,,,,,33780,33049,18102,10985,1519,453,309,281,12,8,8,8,60,80
*PA,UKR,,,,,,,,,,,,,,,,,,,,,,24,58,71,3,6,8,8,,5,5,4,4,9,15
YEM,SVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
GEO,ARM,,,,,,,,,,,,,,,,,,,6000,5000,,,,,,,,,,1,1,1,1,1,8
SYR,SRB,,,,,,,,,,,,,,,,,,,3,2,1,1,1,1,1,1,,,,,,,,,
SLE,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
UGA,AUS,,,,,,,,,,,,,,,,,,,,,,74,26,12,11,20,25,49,51,239,370,391,21,27,31
ISR,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
LBY,UKR,,,,,,,,,,,,,,,,,,,,,,1,2,5,1,2,2,2,2,2,2,2,2,2,1
*ST,KEN,,,,,,,,,,,,,,,,,,,,,,,,293,295,108,108,,,,,,,,
COG,MRT,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,3,3,15,17,18,19,21
ALB,GRC,,,,,,,,,,,,,,,,,,,34,34,,,,,,,61,14,14,5,7,7,4,4,2
AFG,EGY,,,,,,,,,,,,,,,,,,,30,30,29,28,45,56,72,60,66,43,35,35,31,31,28,28,0
ETH,LBR,,,,,,,,,,,,,,,,,,,5,6,5,4,4,4,4,4,,,,,,,,1,1
TGO,MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
GHA,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,3
KOR,USA,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,7,,,5,8,10,15,16,16,19
CMR,MLI,,,,,,,,,,,,,,,,,,,,,,19,21,20,20,19,19,19,20,20,20,20,20,20,20
AFG,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,3
HTI,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,4,8,13
ETH,KEN,300,630,820,940,1170,1460,1430,1580,1670,1760,1880,2130,2010,2720,2994,4912,10600,68633,26466,10537,8823,7109,8634,8099,8191,4053,13541,11202,11139,12595,14862,16428,18119,22649,17103
IND,SWE,,,,,,,,,,,,,,,,10,16,54,68,92,95,98,106,109,,110,111,74,61,43,53,54,62,64,64
ROU,SVK,,,,,,,,,,,,,,,,,,,,,,,37,34,34,34,34,34,31,,,,,,
IND,DNK,,,,,,,,,,,,,,,1,1,2,3,3,3,2,2,2,4,23,33,34,45,56,60,60,67,64,63,52
UGA,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
*ST,HUN,,,,,,,,,,,,,,,,,,,,,,,,,11,10,10,12,23,18,31,33,36,37,38
CHN,MEX,,,,,,,,,,,,,,,,,,,1,,,,1,3,3,3,3,,,1,1,4,4,4,4
SRB,SWE,,,,,,,,,,,,,,,,1598,2647,3123,4788,21492,21977,22463,25358,26471,29248,27514,27965,28727,27897,11844,11953,12000,9589,8692,8852
TZA,ARE,,,300,300,500,300,3000,500,500,500,,,,,,,,,,,,,,,,,,,,,,,,,
*VA,HND,,,,5000,,,,,,,,,,177406,179728,234280,100000,100000,,,,63,,,,,,,,,,,,,
*TB,NPL,8200,8300,8400,8500,8600,8700,8800,9800,10800,11800,12800,13800,14800,15800,16800,17800,18800,19800,20000,20000,20002,20005,20471,20431,,20316,20140,20149,20000,20000,20153,20153,20153,20000,20000
ROU,CIV,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,
SVK,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,24,24,27,27,28,28,28
LBN,CAN,,,,,,,,,,,,,,,,,,,,5298,3286,1274,932,723,,548,653,560,521,510,591,684,1218,1190,1128
LBR,CHL,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,
GMB,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
DOM,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,4,4
SRB,SYR,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,1,1,1,1,1,1,1,1,0
CMR,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
IRN,NGA,,,,,,,,80,90,90,90,60,70,70,,,,,,,,,,,,,,,,,,,,,
TUR,EGY,,,70,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,ARG,,,,,,,,,,,,,,,,,,,1,3,,,,7,7,6,5,5,5,14,21,23,32,41,43
BHR,ESP,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,
CHN,ZAF,,,,,,,,,,,,,,,,,,,,,,469,,,,,,,,,,,,,
MDA,RUS,,,,,,,,,,,,,,,,,,,,,,5132,4476,2163,979,151,69,69,62,,2,2,1,2,4
PER,CHE,,,,,,,,,,,,,,,,,,,,,,,,29,36,40,44,35,31,30,26,22,20,18,15
UZB,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2
TUR,ISL,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,
GTM,PAN,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,2,2,2,2,2,11
HTI,GTM,,,,,,,,,,,,,,,,,,,,,,6,6,3,3,3,3,3,3,3,3,3,3,,
ROU,PER,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
LKA,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,6,
TZA,BRA,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,5,5,5,7,5,5,5,5,5
COD,THA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,30,25,26,17,16
MEX,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7
JAM,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,4,9
IRN,HUN,,,,,,,,,,,,,,,,,,,1,1,,,,,,14,14,38,94,146,153,160,164,161,164
SLV,CUB,,,,,,,,,,,,,,,300,,,,4,17,13,10,6,6,6,6,6,6,6,6,6,6,6,,
LBR,DZA,,,,,,,,,,,,,,,,,,,,,,,1,,,13,7,,,6,24,28,39,5,7
SAU,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
ERI,ARE,,,,,,,,,,,,,,,,,,,,,,,7,7,6,6,6,6,6,6,6,7,6,7,6
BRA,SWE,,,,,,,,,,,,,,,,10,11,11,9,9,8,7,7,7,,1,,,1,1,1,1,1,1,1
EGY,NOR,,,,,,,,,,,,,,,,,,,,,,,13,19,13,13,14,17,18,15,15,15,6,6,7
SWZ,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
MMR,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,36,57
MLT,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
AGO,PRY,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,
BDI,NZL,,,,,,,,,,,,,,,,,,,,,,13,13,30,,30,19,25,12,21,114,114,1,1,1
VNM,URY,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
GEO,KGZ,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,
SYR,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,14,14,13,14,15,16,15
YEM,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
BRB,CAN,,,,,,,,,,,,,,,,,,,,3,2,1,2,2,,5,6,6,8,4,8,13,25,27,28
ECU,ITA,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,2,2,2,2,2,3,5,6
MWI,BWA,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
SOM,UKR,,,,,,,,,,,,,,,,,,,,334,227,120,172,199,3,5,5,6,13,24,25,21,21,20,20
SWZ,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
ETH,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4
KHM,DNK,,,,,,,,,,,,,,,16,16,24,24,24,24,24,24,25,11,23,24,11,7,29,29,28,28,6,6,6
AFG,ECU,,,,,,,,,,,,,,,,,,,2,7,11,16,16,16,51,70,28,29,29,29,29,32,74,79,105
RWA,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17,17,18,18,20,20,17,9
BLR,SWE,,,,,,,,,,,,,,,,,,,2,7,13,20,23,29,,45,67,88,101,120,134,138,191,200,209
SLE,NIC,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,3,3,3,3,3,3,3,0
CAF,COG,,,,,,,,,,,,230,160,170,310,100,320,325,296,245,,,49,50,50,,1585,1724,338,,26,9,23,24,72
SAU,EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,1,1
TGO,TCD,,,,,,,,,,,,,,,,,,,2,2,,,1,1,1,,,,8,,,,,,
GIB,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
UKR,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,53502,57309,57693,56276,16446,19573,22156,18412
ECU,AUS,,,,,,,,,,,,,,,,,,,,,,1,3,254,260,260,262,261,15,9,10,7,258,7,4
IRQ,JOR,,,,,,,,,,,,,,,,15,310,160,62,269,461,654,533,676,887,919,942,1069,965,889,754,500000,500000,500000,450000
YEM,JOR,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,2,2,1,,,,4
MKD,AUT,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,9,10,17,31,36,57,82,125,156
SDN,KEN,,,,,,,,,,,,,140,240,260,250,1050,21800,31578,27194,30335,33477,37351,48162,64254,55585,69804,57779,63197,67556,76646,73004,45261,28496,20315
