OD	"Sudan"	"Germany"	"Uganda"	"Iran"	"Philippines"	"South Africa"	"Paraguay"	"Colombia"	"Mauritius"	"Cambodia"	"Malawi"	"Brunei"	"Somalia"	"Sri Lanka"	"Argentina"	"Afghanistan"	"Eritrea"	"Iraq"	"United Kingdom"	"Nicaragua"	"Chile"	"Kazakhstan"	"Armenia"	"Angola"	"China"	"Comoros"	"Pakistan"	"Namibia"	"Norway"	"Peru"	"Cuba"	"Costa Rica"	"Russia"	"Zimbabwe"	"Guinea-Bissau"	"Uruguay"	"Syria"	"Mali"	"Liberia"	"Kenya"	"Senegal"	"Israel"	"Zambia"	"Sierra Leone"	"Vanuatu"	"Ethiopia"	"Greece"	"Albania"	"Tonga"	"Tanzania"	"Jordan"	"Tuvalu"	"Cameroon"	"South Korea"	"Various"	"Georgia"	"Central Afr. Rep."	"Yemen"	"Hungary"	"Guinea"	"Côte d'Ivoire"	"Honduras"	"Mauritania"	"Bangladesh"	"Burkina Faso"	"Bahrain"	"Nepal"	"Burundi"	"Ghana"	"Botswana"	"Austria"	"Nigeria"	"Indonesia"	"Romania"	"Stateless"	"Macedonia"	"Mongolia"	"Libya"	"Benin"	"Mexico"	"Kuwait"	"Palestine"	"Western Sahara"	"Congo, Dem.Rep."	"Moldova"	"Cape Verde"	"Chad"	"Poland"	"France"	"Algeria"	"Uzbekistan"	"Rwanda"	"Morocco"	"Saudi Arabia"	"India"	"North Korea"	"Mozambique"	"Togo"	"Panama"	"Bosnia & Herz."	"Djibouti"	"Bulgaria"	"Estonia"	"Thailand"	"Bolivia"	"Ukraine"	"Venezuela"	"Turkey"	"Congo"	"Spain"	"El Salvador"	"Fiji"	"Qatar"	"Trinidad & Tobago"	"Croatia"	"Samoa"	"Lebanon"	"Gambia"	"Kyrgyzstan"	"Brazil"	"Belarus"	"Czech Rep."	"Laos"	"Dominica"	"Sweden"	"Belize"	"United States"	"Equatorial Guinea"	"Turkmenistan"	"Belgium"	"Ecuador"	"Niger"	"Slovenia"	"Malaysia"	"Australia"	"Serbia"	"Tajikistan"	"Tibetans"	"Latvia"	"Madagascar"	"Myanmar"	"Dominican Rep."	"Bhutan"	"Solomon Islands"	"Tunisia"	"Egypt"	"Denmark"	"Haiti"	"Guyana"	"Swaziland"	"Viet Nam"	"Guatemala"	"Cyprus"	"Finland"	"Slovakia"	"Antigua & Barbuda"	"Martinique"	"Azerbaijan"	"New Zealand"	"Lithuania"	"Portugal"	"Netherlands"	"Emirates"	"Gabon"	"Italy"	"Montenegro"	"Saint Lucia"	"Japan"	"Maldives"	"Suriname"	"Hong Kong"	"St Vincent"	"Papua New Guinea"	"Grenada"	"Canada"	"Sao Tome"	"Luxembourg"	"Seychelles"	"Jamaica"	"Lesotho"	"Oman"	"Andorra"	"Timor-Leste"	"Switzerland"	"Singapore"	"St Kitts"	"Ireland"	"Iceland"	"Kiribati"	"Monaco"	"Malta"	"San Marino"	"Barbados"	"Gibraltar"	"Bahamas"	"Macao SAR"	"Nauru"	"Bermuda"	"Puerto Rico"	"French Guiana"	"Palau"	"Holy See"	"Cook Islands"	"French Polynesia"	"Turks"
"Sudan"	0	392	215675	0	1	172	0	1	0	1	0	0	2	0	2	0	752	138	3108	0	0	0	0	14	0	0	0	0	506	0	2	0	0	0	0	1	227	0	13	73004	0	270	0	5	0	66980	64	0	0	0	10	0	62	0	0	0	7900	78	139	0	1	0	9	0	6	0	0	0	600	27	135	181	0	19	0	0	0	10	5	2	1	0	0	6181	8	0	233025	24	799	0	0	7	12	37	12	0	3	0	0	0	2	172	0	5	0	64	0	13	0	19	0	0	0	0	1	0	66	0	0	27	0	0	0	0	241	0	28123	0	0	49	3	15	1	23	21241	0	0	0	1	0	0	0	0	0	0	12157	379	0	0	0	0	1	3	778	0	0	0	0	238	0	6	3810	18	7	1277	0	0	17	0	0	0	0	0	0	6258	0	0	0	0	0	0	0	0	165	0	0	298	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Germany"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	61	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Uganda"	0	173	0	0	0	70	0	0	0	0	0	0	7	0	0	0	0	0	1870	0	0	0	0	0	0	0	1	0	32	0	0	0	1	0	0	0	0	0	2	2810	0	0	0	0	0	38	0	0	0	0	0	0	5	1	0	0	13	1	8	0	1	0	1	0	0	0	0	0	0	45	16	2	0	0	0	0	0	0	0	0	0	0	0	13904	0	0	0	0	29	0	0	18	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	1430	0	0	7	0	0	0	1	391	0	0	0	0	0	0	0	0	0	0	12	37	0	0	43	0	0	0	6	0	0	0	0	8	0	0	90	21	0	7	0	0	0	0	0	1	0	0	0	445	0	0	0	0	0	0	0	0	33	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Iran"	0	13213	0	0	18	0	1	2	0	0	0	0	0	0	28	34	0	11773	9566	0	5	0	6	0	7	0	44	0	3446	34	0	0	2	0	0	0	131	0	0	0	0	1	0	0	0	0	326	0	0	0	0	0	0	7	0	0	0	0	160	0	22	4	0	27	0	0	4	0	0	0	1679	0	1	105	0	0	0	0	1	11	0	0	0	0	5	0	0	8	1617	0	0	0	1	0	44	0	0	0	3	0	0	214	0	20	3	35	0	2135	0	85	0	0	0	0	0	0	0	0	6	26	1	31	0	0	5205	0	33714	0	0	379	7	0	8	13	2346	0	8	0	0	0	0	0	0	0	6	1	1617	0	0	0	0	0	345	1806	10	0	0	71	605	6	1	4344	15	0	553	0	0	43	0	0	5	0	0	0	4978	0	0	0	0	0	0	0	0	1132	0	0	365	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Philippines"	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	401	0	0	0	0	0	0	3	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"South Africa"	0	270	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	115	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	5	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paraguay"	0	52	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Colombia"	0	431	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	1399	12	725	0	0	0	0	0	0	0	220	152	10	9699	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	0	0	1248	0	0	0	0	0	45	0	660	0	0	976	3	0	0	0	0	0	0	0	0	415	0	0	0	0	1379	0	24770	0	0	54	11526	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	0	13	0	0	0	0	26	0	0	317	0	0	322	0	0	0	0	0	0	0	0	0	17378	0	0	0	0	0	0	0	0	255	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mauritius"	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cambodia"	0	83	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	828	0	0	25	0	0	0	5	15	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	2357	0	0	33	0	0	0	0	12	0	0	46	0	0	6	0	0	103	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Malawi"	0	5	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Brunei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Somalia"	215	2165	3752	0	5	7818	0	0	0	9	42	0	0	0	0	0	3792	0	34138	4	1	1	0	10	9	0	244	1	6632	2	0	0	0	0	0	3	1322	0	1	173702	3	0	1694	0	0	16576	17	0	0	2086	15	0	0	2	0	0	0	91587	181	0	0	0	0	13	0	0	52	1	1	547	266	24	22	111	0	0	0	488	1	10	0	0	0	0	1	0	0	135	612	4	0	11	1	13	130	0	12	3	0	0	8642	119	0	17	0	21	0	139	0	147	0	0	0	0	0	0	7	8	0	28	0	8	0	0	4066	0	72546	0	0	111	6	12	1	47	797	0	0	0	7	0	0	0	0	0	0	4317	5100	0	0	69	0	0	2	1042	2	0	0	0	331	22	0	8086	23	1	948	0	0	0	0	0	30	0	0	0	4507	0	0	0	0	0	0	0	0	3541	0	0	408	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sri Lanka"	0	5832	0	0	9	0	0	0	0	2	0	0	1	0	37	0	0	0	8223	0	6	0	0	0	0	0	0	0	549	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	2	0	2	0	6	13	2	1	0	0	0	0	0	5	0	0	0	0	0	0	0	26	15669	0	0	0	0	0	69609	0	0	0	0	0	0	2	0	61	0	4	0	1	0	5	2	0	0	0	0	0	0	0	0	3	0	13	0	0	85	0	1827	0	0	8	3	0	0	42	600	0	0	0	0	0	0	0	0	0	0	2	362	0	0	18	0	0	5	60	0	0	0	0	110	1	1	896	0	0	533	0	0	0	0	0	16	0	0	0	9877	0	0	0	0	0	0	0	0	2352	0	0	25	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Argentina"	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	11	0	0	0	0	4	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Afghanistan"	0	21879	0	914260	0	18	0	0	0	2	0	0	0	4	0	0	0	0	23069	0	17	588	0	0	7	0	1043984	0	4084	0	1	0	1202	0	0	0	299	0	0	0	0	0	0	0	0	1	171	0	0	0	0	0	0	2	0	4	0	0	2357	0	14	0	0	1	0	0	0	0	0	0	3664	0	65	272	0	1	0	0	0	0	0	0	0	0	12	0	0	79	1238	0	1415	0	0	0	9472	0	1	0	0	0	0	1967	2	2	0	1189	0	75	0	74	0	0	40	0	0	0	6	0	256	3	491	237	0	0	4278	0	13242	0	710	226	32	0	1	55	7908	0	917	0	1	0	0	0	0	0	0	31	6306	0	0	0	0	0	3	1883	93	0	0	104	961	96	5	21357	4	0	473	0	0	55	0	0	0	0	0	0	14419	0	0	0	0	0	0	0	0	1726	0	0	99	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eritrea"	157220	2276	6	0	0	24	0	0	0	0	4	0	15	0	0	0	0	0	4901	0	0	0	0	4	3	0	0	0	680	0	1	0	0	0	0	0	21	0	0	663	0	8	0	0	0	13078	4	0	0	0	0	0	0	1	0	0	0	206	3	0	5	0	0	0	0	1	0	0	1	8	24	10	0	3	0	0	0	19	0	2	0	0	0	0	2	0	0	1	104	1	0	1	1	416	1	0	0	0	0	0	64	7	0	0	0	0	0	12	0	5	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1051	0	3201	0	0	5	0	0	0	2	653	0	0	0	0	0	0	0	0	0	0	274	55	0	0	0	0	0	0	49	0	0	0	0	98	0	4	690	7	0	5021	0	0	0	0	0	1	0	0	0	1619	0	0	0	0	0	0	0	0	628	0	0	55	1	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Iraq"	0	36205	0	54024	25	0	1	2	0	0	0	0	1	16	25	1	0	0	21984	0	10	4	459	1	5	0	86	0	8668	13	2	0	14	0	0	0	700000	0	3	0	0	1	0	0	0	0	824	4	0	0	500000	0	0	3	0	0	0	1517	1235	0	0	0	4	0	0	0	7	0	0	0	1179	0	172	454	0	0	0	34	1	9	49	0	0	0	8	0	0	56	1318	4	0	0	10	250	12	0	0	0	0	0	0	1199	1	16	15	43	0	141	0	245	0	0	6	0	0	0	20000	0	4	110	1	88	0	0	23852	0	19755	0	0	253	18	6	4	51	11147	62	4	0	1	0	0	0	0	0	12	43	9902	0	0	0	0	0	75	1679	14	0	0	3	816	9	4	21782	3	0	1371	0	0	8	0	0	0	0	0	0	3990	0	0	0	0	0	0	0	0	5030	0	0	338	4	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"United Kingdom"	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	101	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nicaragua"	0	26	0	0	0	0	0	20	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	4	0	0	0	34	0	0	0	0	0	0	0	0	1	0	0	0	0	9	44	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chile"	0	331	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	21	0	0	0	0	65	0	79	0	0	76	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kazakhstan"	0	3800	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	2	0	0	0	1	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	73	0	0	298	0	2241	0	0	37	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	19	0	0	0	0	0	0	4	154	0	0	5	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	21	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Armenia"	0	1874	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	14	0	0	0	0	0	0	0	0	0	73	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	309	0	0	1	0	0	0	0	0	1	0	0	0	0	23	0	0	13	1464	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	208	0	0	0	228	0	0	0	0	0	0	0	0	0	3	1	81	0	0	445	0	8039	0	4	40	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	8	13	0	0	0	0	0	0	2	1354	0	0	45	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	105	0	0	32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Angola"	0	2006	0	0	0	5759	0	4	0	1	0	0	0	0	15	0	0	0	3452	0	6	0	0	0	0	0	0	4738	137	0	0	0	0	0	0	0	0	0	0	0	1	0	42675	0	0	0	1	0	0	0	0	0	13	0	0	0	5	2	22	1	5	0	0	0	0	0	0	0	0	858	112	8	0	2	0	0	0	0	5	3	0	0	0	132295	1	0	0	2	2594	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	30	0	0	2666	76	0	0	0	0	0	0	0	0	0	1674	0	21	0	0	69	0	372	0	0	126	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	30	0	0	95	0	0	0	160	2	0	0	0	2	0	15	2969	0	60	123	0	0	0	0	0	0	0	0	0	836	0	0	0	0	0	0	0	0	2160	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"China"	0	3577	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	2162	0	0	26	0	0	0	0	1	0	252	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	8	0	0	0	3	19	0	0	0	0	0	0	0	2	0	0	0	62	0	2	2	0	0	5	0	0	4	0	0	0	0	0	0	0	6	493	0	0	0	3	9	77200	0	0	0	0	0	0	0	0	74	0	0	5	8	0	16	0	0	0	0	0	0	0	0	2	0	0	8	0	0	236	0	41007	0	0	149	2	0	0	16	793	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	1	1	49	2	0	0	0	69	0	0	1991	0	0	6	0	0	43	0	0	0	0	0	0	11072	0	0	0	0	0	0	0	0	983	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Comoros"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pakistan"	0	3580	0	0	0	29	0	0	0	1	0	0	0	141	37	0	0	0	4301	0	0	0	0	0	79	0	0	0	277	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	63	0	0	0	0	0	0	0	136	0	0	0	34	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	18	272	0	0	0	7	0	0	0	0	0	0	0	0	1	0	3	0	3	0	0	0	47	0	0	0	0	0	0	0	0	0	7	0	12	0	0	201	0	4211	0	0	72	15	0	0	6	316	0	0	0	3	0	0	0	0	0	0	0	54	0	0	0	0	0	9	19	2	0	0	1	17	0	0	227	0	0	189	0	0	13	0	0	18	0	0	0	10888	0	0	0	0	0	0	0	0	160	0	0	142	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Namibia"	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Norway"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
